| N/A   69C    P0    92W / 149W |   4405MiB / 11441MiB |     64%      Default |
| N/A   69C    P0    91W / 149W |   3158MiB / 11441MiB |     88%      Default |
| N/A   69C    P0    81W / 149W |   3469MiB / 11441MiB |     62%      Default |
| N/A   69C    P0    80W / 149W |   3469MiB / 11441MiB |     31%      Default |
| N/A   69C    P0    87W / 149W |   3234MiB / 11441MiB |     75%      Default |
| N/A   69C    P0    81W / 149W |   3076MiB / 11441MiB |     75%      Default |
| N/A   69C    P0    83W / 149W |   2993MiB / 11441MiB |     39%      Default |
| N/A   69C    P0   115W / 149W |   3147MiB / 11441MiB |     54%      Default |
| N/A   69C    P0    99W / 149W |   2649MiB / 11441MiB |     70%      Default |
| N/A   69C    P0   102W / 149W |   2766MiB / 11441MiB |     45%      Default |
| N/A   69C    P0   106W / 149W |   2594MiB / 11441MiB |     64%      Default |
| N/A   69C    P0   108W / 149W |   2690MiB / 11441MiB |     56%      Default |
| N/A   69C    P0   110W / 149W |   2544MiB / 11441MiB |     56%      Default |
| N/A   69C    P0   125W / 149W |   2651MiB / 11441MiB |     59%      Default |
| N/A   69C    P0   124W / 149W |   2632MiB / 11441MiB |     75%      Default |
| N/A   69C    P0   127W / 149W |   2996MiB / 11441MiB |     80%      Default |
| N/A   70C    P0   127W / 149W |   2919MiB / 11441MiB |     76%      Default |
| N/A   69C    P0   107W / 149W |   3529MiB / 11441MiB |     82%      Default |
| N/A   70C    P0   110W / 149W |   3305MiB / 11441MiB |     95%      Default |
| N/A   70C    P0   110W / 149W |   3623MiB / 11441MiB |     65%      Default |
| N/A   69C    P0    93W / 149W |   4405MiB / 11441MiB |     65%      Default |
| N/A   70C    P0   137W / 149W |   4093MiB / 11441MiB |     84%      Default |
| N/A   69C    P0    93W / 149W |   3158MiB / 11441MiB |     91%      Default |
| N/A   70C    P0   116W / 149W |   5652MiB / 11441MiB |     59%      Default |
| N/A   69C    P0    97W / 149W |   3158MiB / 11441MiB |     98%      Default |
| N/A   69C    P0    88W / 149W |   2534MiB / 11441MiB |     97%      Default |
| N/A   69C    P0    83W / 149W |   4093MiB / 11441MiB |     57%      Default |
| N/A   69C    P0    99W / 149W |   3158MiB / 11441MiB |     95%      Default |
| N/A   69C    P0    90W / 149W |   3469MiB / 11441MiB |     95%      Default |
| N/A   69C    P0    80W / 149W |   3781MiB / 11441MiB |     77%      Default |
| N/A   69C    P0    93W / 149W |   3234MiB / 11441MiB |     21%      Default |
| N/A   69C    P0    84W / 149W |   3311MiB / 11441MiB |     86%      Default |
| N/A   69C    P0   103W / 149W |   3070MiB / 11441MiB |     26%      Default |
| N/A   69C    P0    88W / 149W |   3147MiB / 11441MiB |     67%      Default |
| N/A   69C    P0   113W / 149W |   2917MiB / 11441MiB |     70%      Default |
| N/A   69C    P0    93W / 149W |   2843MiB / 11441MiB |     45%      Default |
| N/A   69C    P0    96W / 149W |   2709MiB / 11441MiB |     64%      Default |
| N/A   69C    P0   101W / 149W |   2690MiB / 11441MiB |     48%      Default |
| N/A   69C    P0   112W / 149W |   2544MiB / 11441MiB |     48%      Default |
| N/A   69C    P0   123W / 149W |   2670MiB / 11441MiB |     67%      Default |
| N/A   69C    P0   124W / 149W |   2632MiB / 11441MiB |     74%      Default |
| N/A   69C    P0   111W / 149W |   2996MiB / 11441MiB |     79%      Default |
| N/A   69C    P0   110W / 149W |   2919MiB / 11441MiB |     78%      Default |
| N/A   69C    P0   103W / 149W |   3529MiB / 11441MiB |     81%      Default |
| N/A   70C    P0   124W / 149W |   3305MiB / 11441MiB |     94%      Default |
| N/A   69C    P0   104W / 149W |   4246MiB / 11441MiB |     69%      Default |
| N/A   69C    P0    98W / 149W |   4405MiB / 11441MiB |     90%      Default |
| N/A   70C    P0   129W / 149W |   3469MiB / 11441MiB |     90%      Default |
| N/A   69C    P0    99W / 149W |   5652MiB / 11441MiB |     99%      Default |
| N/A   70C    P0   123W / 149W |   4405MiB / 11441MiB |     68%      Default |
| N/A   69C    P0    98W / 149W |   3158MiB / 11441MiB |     99%      Default |
| N/A   69C    P0    82W / 149W |   5028MiB / 11441MiB |     93%      Default |
| N/A   69C    P0   105W / 149W |   4093MiB / 11441MiB |     64%      Default |
| N/A   69C    P0    89W / 149W |   3158MiB / 11441MiB |     93%      Default |
| N/A   69C    P0    86W / 149W |   3469MiB / 11441MiB |     53%      Default |
| N/A   69C    P0   104W / 149W |   3469MiB / 11441MiB |     53%      Default |
| N/A   69C    P0    93W / 149W |   3234MiB / 11441MiB |     50%      Default |
| N/A   69C    P0    83W / 149W |   3076MiB / 11441MiB |     58%      Default |
| N/A   69C    P0   103W / 149W |   2993MiB / 11441MiB |     53%      Default |
| N/A   69C    P0    88W / 149W |   2993MiB / 11441MiB |     43%      Default |
| N/A   69C    P0    91W / 149W |   2649MiB / 11441MiB |     66%      Default |
| N/A   69C    P0    96W / 149W |   2766MiB / 11441MiB |     58%      Default |
| N/A   69C    P0    97W / 149W |   2670MiB / 11441MiB |     56%      Default |
| N/A   69C    P0    98W / 149W |   2622MiB / 11441MiB |     64%      Default |
| N/A   69C    P0   110W / 149W |   2569MiB / 11441MiB |     64%      Default |
| N/A   69C    P0   115W / 149W |   2805MiB / 11441MiB |     54%      Default |
| N/A   69C    P0   130W / 149W |   2690MiB / 11441MiB |     85%      Default |
| N/A   69C    P0   110W / 149W |   2766MiB / 11441MiB |     77%      Default |
| N/A   69C    P0   109W / 149W |   2843MiB / 11441MiB |     79%      Default |
| N/A   69C    P0   105W / 149W |   3529MiB / 11441MiB |     77%      Default |
| N/A   69C    P0    99W / 149W |   3305MiB / 11441MiB |     85%      Default |
| N/A   69C    P0   108W / 149W |   4246MiB / 11441MiB |     74%      Default |
| N/A   69C    P0   109W / 149W |   4405MiB / 11441MiB |     74%      Default |
| N/A   69C    P0   141W / 149W |   3781MiB / 11441MiB |     89%      Default |
| N/A   69C    P0   101W / 149W |   5652MiB / 11441MiB |     90%      Default |
| N/A   70C    P0   134W / 149W |   4405MiB / 11441MiB |     68%      Default |
| N/A   69C    P0   106W / 149W |   3158MiB / 11441MiB |     99%      Default |
| N/A   69C    P0    85W / 149W |   2534MiB / 11441MiB |     97%      Default |
| N/A   69C    P0   103W / 149W |   4093MiB / 11441MiB |     55%      Default |
| N/A   69C    P0    93W / 149W |   3158MiB / 11441MiB |     55%      Default |
| N/A   69C    P0    90W / 149W |   3469MiB / 11441MiB |     97%      Default |
| N/A   69C    P0    80W / 149W |   3781MiB / 11441MiB |     55%      Default |
| N/A   69C    P0    95W / 149W |   3234MiB / 11441MiB |     44%      Default |
| N/A   69C    P0    81W / 149W |   3311MiB / 11441MiB |     63%      Default |
| N/A   69C    P0    83W / 149W |   3070MiB / 11441MiB |     51%      Default |
| N/A   69C    P0   112W / 149W |   3147MiB / 11441MiB |     45%      Default |
| N/A   69C    P0    99W / 149W |   2917MiB / 11441MiB |     68%      Default |
| N/A   69C    P0    88W / 149W |   2843MiB / 11441MiB |     59%      Default |
| N/A   69C    P0   105W / 149W |   2709MiB / 11441MiB |     59%      Default |
| N/A   69C    P0    91W / 149W |   2651MiB / 11441MiB |     50%      Default |
| N/A   69C    P0   110W / 149W |   2543MiB / 11441MiB |     65%      Default |
| N/A   69C    P0   114W / 149W |   2709MiB / 11441MiB |     60%      Default |
| N/A   69C    P0   124W / 149W |   2670MiB / 11441MiB |     78%      Default |
| N/A   69C    P0   125W / 149W |   3072MiB / 11441MiB |     74%      Default |
| N/A   69C    P0   127W / 149W |   2728MiB / 11441MiB |     81%      Default |
| N/A   69C    P0   115W / 149W |   2993MiB / 11441MiB |     74%      Default |
| N/A   69C    P0   119W / 149W |   2917MiB / 11441MiB |     81%      Default |
| N/A   69C    P0    96W / 149W |   2999MiB / 11441MiB |     81%      Default |
| N/A   69C    P0   101W / 149W |   3623MiB / 11441MiB |     74%      Default |
| N/A   69C    P0   109W / 149W |   4405MiB / 11441MiB |     71%      Default |
| N/A   69C    P0   105W / 149W |   3158MiB / 11441MiB |     94%      Default |
| N/A   69C    P0   100W / 149W |   5652MiB / 11441MiB |     57%      Default |
| N/A   69C    P0   106W / 149W |   4405MiB / 11441MiB |     99%      Default |
| N/A   69C    P0    91W / 149W |   2846MiB / 11441MiB |     99%      Default |
| N/A   69C    P0    86W / 149W |   5028MiB / 11441MiB |     63%      Default |
| N/A   69C    P0    95W / 149W |   4093MiB / 11441MiB |     63%      Default |
| N/A   69C    P0    93W / 149W |   3469MiB / 11441MiB |     94%      Default |
| N/A   69C    P0    81W / 149W |   3469MiB / 11441MiB |     86%      Default |
| N/A   69C    P0    84W / 149W |   3469MiB / 11441MiB |     17%      Default |
| N/A   69C    P0    86W / 149W |   3234MiB / 11441MiB |     90%      Default |
| N/A   69C    P0    80W / 149W |   2764MiB / 11441MiB |     20%      Default |
| N/A   69C    P0    94W / 149W |   2993MiB / 11441MiB |     73%      Default |
| N/A   69C    P0   104W / 149W |   2879MiB / 11441MiB |     58%      Default |
| N/A   69C    P0    89W / 149W |   2726MiB / 11441MiB |     58%      Default |
| N/A   69C    P0    88W / 149W |   2766MiB / 11441MiB |     47%      Default |
| N/A   69C    P0    92W / 149W |   2632MiB / 11441MiB |     47%      Default |
| N/A   69C    P0   103W / 149W |   2622MiB / 11441MiB |     61%      Default |
| N/A   69C    P0   113W / 149W |   2584MiB / 11441MiB |     61%      Default |
| N/A   69C    P0   125W / 149W |   2805MiB / 11441MiB |     81%      Default |
| N/A   69C    P0   128W / 149W |   2651MiB / 11441MiB |     87%      Default |
| N/A   69C    P0   125W / 149W |   2766MiB / 11441MiB |     71%      Default |
| N/A   69C    P0   125W / 149W |   2919MiB / 11441MiB |     71%      Default |
| N/A   69C    P0   100W / 149W |   3529MiB / 11441MiB |     71%      Default |
| N/A   69C    P0   114W / 149W |   3305MiB / 11441MiB |     88%      Default |
| N/A   70C    P0    99W / 149W |   3623MiB / 11441MiB |     82%      Default |
| N/A   69C    P0    95W / 149W |   4405MiB / 11441MiB |     83%      Default |
| N/A   69C    P0   120W / 149W |   3781MiB / 11441MiB |     92%      Default |
| N/A   69C    P0    95W / 149W |   5652MiB / 11441MiB |     62%      Default |
| N/A   70C    P0   119W / 149W |   4405MiB / 11441MiB |     62%      Default |
| N/A   69C    P0    96W / 149W |   3158MiB / 11441MiB |     98%      Default |
| N/A   69C    P0    87W / 149W |   2534MiB / 11441MiB |     99%      Default |
| N/A   69C    P0   104W / 149W |   4093MiB / 11441MiB |     56%      Default |
| N/A   69C    P0   100W / 149W |   3158MiB / 11441MiB |     97%      Default |
| N/A   69C    P0    85W / 149W |   3469MiB / 11441MiB |     93%      Default |
| N/A   69C    P0    80W / 149W |   3781MiB / 11441MiB |      8%      Default |
| N/A   69C    P0    92W / 149W |   3234MiB / 11441MiB |     97%      Default |
| N/A   69C    P0    83W / 149W |   3311MiB / 11441MiB |     97%      Default |
| N/A   69C    P0   100W / 149W |   3070MiB / 11441MiB |     18%      Default |
| N/A   69C    P0    87W / 149W |   3147MiB / 11441MiB |     78%      Default |
| N/A   69C    P0   109W / 149W |   2917MiB / 11441MiB |     61%      Default |
| N/A   69C    P0    91W / 149W |   2766MiB / 11441MiB |     48%      Default |
| N/A   69C    P0    94W / 149W |   2709MiB / 11441MiB |     51%      Default |
| N/A   69C    P0   101W / 149W |   2690MiB / 11441MiB |     55%      Default |
| N/A   69C    P0   105W / 149W |   2541MiB / 11441MiB |     67%      Default |
| N/A   69C    P0   123W / 149W |   2670MiB / 11441MiB |     70%      Default |
| N/A   69C    P0   129W / 149W |   2632MiB / 11441MiB |     70%      Default |
| N/A   69C    P0   111W / 149W |   3072MiB / 11441MiB |     76%      Default |
| N/A   69C    P0   110W / 149W |   2728MiB / 11441MiB |     77%      Default |
| N/A   70C    P0   103W / 149W |   2993MiB / 11441MiB |     63%      Default |
| N/A   69C    P0   105W / 149W |   2917MiB / 11441MiB |     79%      Default |
| N/A   69C    P0   108W / 149W |   2999MiB / 11441MiB |     76%      Default |
| N/A   69C    P0    96W / 149W |   3623MiB / 11441MiB |     74%      Default |
| N/A   69C    P0   131W / 149W |   4405MiB / 11441MiB |     86%      Default |
| N/A   70C    P0   123W / 149W |   3158MiB / 11441MiB |     86%      Default |
| N/A   69C    P0   118W / 149W |   5652MiB / 11441MiB |     96%      Default |
| N/A   69C    P0   121W / 149W |   4405MiB / 11441MiB |     65%      Default |
| N/A   69C    P0    88W / 149W |   2846MiB / 11441MiB |     97%      Default |
| N/A   69C    P0    83W / 149W |   5028MiB / 11441MiB |     80%      Default |
| N/A   69C    P0   102W / 149W |   4093MiB / 11441MiB |     84%      Default |
| N/A   69C    P0    88W / 149W |   3469MiB / 11441MiB |     96%      Default |
| N/A   69C    P0    84W / 149W |   3469MiB / 11441MiB |     96%      Default |
| N/A   69C    P0    99W / 149W |   3469MiB / 11441MiB |     24%      Default |
| N/A   69C    P0    90W / 149W |   3234MiB / 11441MiB |     71%      Default |
| N/A   69C    P0    83W / 149W |   2764MiB / 11441MiB |     36%      Default |
| N/A   69C    P0   101W / 149W |   2993MiB / 11441MiB |     68%      Default |
| N/A   69C    P0   110W / 149W |   2879MiB / 11441MiB |     55%      Default |
| N/A   69C    P0    92W / 149W |   2726MiB / 11441MiB |     59%      Default |
| N/A   69C    P0    90W / 149W |   2766MiB / 11441MiB |     60%      Default |
| N/A   69C    P0    94W / 149W |   2670MiB / 11441MiB |     60%      Default |
| N/A   69C    P0   105W / 149W |   2555MiB / 11441MiB |     56%      Default |
| N/A   69C    P0   111W / 149W |   2584MiB / 11441MiB |     50%      Default |
| N/A   69C    P0   122W / 149W |   2805MiB / 11441MiB |     75%      Default |
| N/A   69C    P0   128W / 149W |   2651MiB / 11441MiB |     85%      Default |
| N/A   69C    P0   118W / 149W |   2766MiB / 11441MiB |     79%      Default |
| N/A   69C    P0   117W / 149W |   2919MiB / 11441MiB |     74%      Default |
| N/A   69C    P0   100W / 149W |   3529MiB / 11441MiB |     74%      Default |
| N/A   70C    P0   121W / 149W |   3305MiB / 11441MiB |     80%      Default |
| N/A   69C    P0   102W / 149W |   4246MiB / 11441MiB |     84%      Default |
| N/A   69C    P0    97W / 149W |   4405MiB / 11441MiB |     85%      Default |
| N/A   69C    P0   124W / 149W |   3781MiB / 11441MiB |     92%      Default |
| N/A   69C    P0    97W / 149W |   5652MiB / 11441MiB |     73%      Default |
| N/A   70C    P0   121W / 149W |   4405MiB / 11441MiB |     89%      Default |
| N/A   70C    P0    97W / 149W |   3158MiB / 11441MiB |     89%      Default |
| N/A   69C    P0    88W / 149W |   2534MiB / 11441MiB |     99%      Default |
| N/A   69C    P0   103W / 149W |   4093MiB / 11441MiB |     59%      Default |
| N/A   69C    P0   100W / 149W |   3158MiB / 11441MiB |     98%      Default |
| N/A   69C    P0    85W / 149W |   3469MiB / 11441MiB |     98%      Default |
| N/A   69C    P0    79W / 149W |   3781MiB / 11441MiB |      5%      Default |
| N/A   69C    P0    91W / 149W |   3234MiB / 11441MiB |     97%      Default |
| N/A   69C    P0    82W / 149W |   3311MiB / 11441MiB |     97%      Default |
| N/A   69C    P0    83W / 149W |   3070MiB / 11441MiB |     22%      Default |
| N/A   69C    P0    91W / 149W |   3147MiB / 11441MiB |     80%      Default |
| N/A   69C    P0   106W / 149W |   2879MiB / 11441MiB |     56%      Default |
| N/A   69C    P0    95W / 149W |   2766MiB / 11441MiB |     57%      Default |
| N/A   69C    P0   100W / 149W |   2670MiB / 11441MiB |     57%      Default |
| N/A   69C    P0   103W / 149W |   2651MiB / 11441MiB |     57%      Default |
| N/A   69C    P0   107W / 149W |   2543MiB / 11441MiB |     63%      Default |
| N/A   69C    P0   126W / 149W |   2670MiB / 11441MiB |     63%      Default |
| N/A   69C    P0   123W / 149W |   2632MiB / 11441MiB |     72%      Default |
| N/A   69C    P0   125W / 149W |   3072MiB / 11441MiB |     76%      Default |
| N/A   69C    P0   127W / 149W |   2728MiB / 11441MiB |     79%      Default |
| N/A   69C    P0   114W / 149W |   2993MiB / 11441MiB |     74%      Default |
| N/A   69C    P0   117W / 149W |   3070MiB / 11441MiB |     87%      Default |
| N/A   69C    P0    95W / 149W |   3152MiB / 11441MiB |     77%      Default |
| N/A   69C    P0   102W / 149W |   3623MiB / 11441MiB |     77%      Default |
| N/A   69C    P0   125W / 149W |   4405MiB / 11441MiB |     78%      Default |
| N/A   69C    P0   129W / 149W |   3158MiB / 11441MiB |     93%      Default |
| N/A   69C    P0   114W / 149W |   5652MiB / 11441MiB |     62%      Default |
| N/A   69C    P0   127W / 149W |   4405MiB / 11441MiB |     99%      Default |
| N/A   69C    P0    88W / 149W |   2846MiB / 11441MiB |     99%      Default |
| N/A   69C    P0    83W / 149W |   5028MiB / 11441MiB |     99%      Default |
| N/A   69C    P0   104W / 149W |   4405MiB / 11441MiB |     69%      Default |
| N/A   69C    P0    88W / 149W |   3158MiB / 11441MiB |     87%      Default |
